administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,country,establishment,floor,hospital,lat,lng,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
,,,,,,,HCFAMEMA UNIDADE MATERNO INFANTIL,,,,,,,,,,,,
São Paulo,Santos,,,Brazil,,,SANTA CASA DE SANTOS,-23.944524,-46.33643499999999,,ROOFTOP,,Jabaquara,11075-101,,,Avenida Doutor Cláudio Luís da Costa,50,
Porto,,,,Portugal,,,HOSPITAL SANTO ANTONIO,41.1472269,-8.6195355,Porto,GEOMETRIC_CENTER,,,4099-001,,,Largo do Professor Abel Salazar,,
São Paulo,Guariba,,,Brazil,,,SANTA CASA DE GUARIBA,-21.3648737,-48.2251015,,ROOFTOP,,Altos do Jardim Boa Vista,14840-000,,,Rua Nelo Petrine,1740,
São Paulo,Itapeva,,,Brazil,,,SANTA CASA DE MISERICORDIA DE ITAPEVA,-23.9882923,-48.8770084,,ROOFTOP,,Centro,18400-030,,,Rua Santos Dumont,433,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL DIA DA REDE HORA CERTA BUTANTA,-23.5863252,-46.7323941,,ROOFTOP,,Butantã,05535-100,,,Rua João Guerra,247,
,,,,,,,HOSPITAL MUNICIPAL UNIVERSITARIO,,,,,,,,,,,,
São Paulo,Monte Alto,,,Brazil,,,SANTA CASA DE MONTE ALTO,-21.2655414,-48.5019758,,ROOFTOP,,Centro,15910-000,,,Rua Carlos Kielander,396,
São Paulo,Teodoro Sampaio,,,Brazil,,,HOSPITAL REGIONAL DE TEODORO SAMPAIO,-22.5334861,-52.1708268,,ROOFTOP,,Centro,19280-000,,,Rua Trifônio Infante Algarin,1430,
São Paulo,São Paulo,,,Brazil,,,INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO,-23.5558033,-46.6675382,,ROOFTOP,,Pacaembu,01246-900,,,Avenida Doutor Arnaldo,165,
São Paulo,São Caetano do Sul,,,Brazil,,,PRONTO SOCORRO CENTRAL SAO CAETANO DO SUL,-23.617119,-46.5723689,,ROOFTOP,,Centro,09510-112,,,Rua Manoel Coelho,845,
São Paulo,Taboão da Serra,,,Brazil,,,PRONTO SOCORRO DO TABOAO,-23.6147783,-46.7782171,,ROOFTOP,,Jardim Helena,06765-465,,,Estrada São Francisco,2400,
São Paulo,Campinas,,,Brazil,,,CENTRO DE ATENCAO INTEGRAL A SAUDE DA MULHER,-22.8279155,-47.0657783,,ROOFTOP,,Cidade Universitária,13083-881,,,Rua Alexander Fleming,101,
São Paulo,São Bernardo do Campo,,,Brazil,,,PRONTO SOCORRO RUDGE RAMOS,-23.6553785,-46.5742749,,ROOFTOP,,Rudge Ramos,09624-070,,,Rua Ângela Tomé,256,
São Paulo,São Bernardo do Campo,,,Brazil,,,PRONTO SOCORRO BAETA NEVES,-23.6998662,-46.5438421,,ROOFTOP,,Baeta Neves,09760-001,,,Rua dos Vianas,933,
São Paulo,Suzano,,,Brazil,,,PRONTO SOCORRO MUNICIPAL DE SUZANO,-23.5521348,-46.30599309999999,,ROOFTOP,,Vila Figueira,08676-410,,,Rua Kaneji Kodama,1459,
São Paulo,Guarulhos,,,Brazil,,,HOSPITAL MATERNIDADE JESUS JOSE E MARIA,-23.4511671,-46.5310196,,ROOFTOP,,Parque Renato Maia,07114-000,,,Avenida Doutor Renato de Andrade Maia,1337,
São Paulo,Indaiatuba,,,Brazil,,,AMBULAT DE ESPECIALIDADES E HOSPITAL DIA DR RENATO RIGGIO JR,-23.088084,-47.2023671,,ROOFTOP,,Vila Vitoria I,13338-010,,,Avenida Visconde de Indaiatuba,199,
São Paulo,Santos,,,Brazil,,,SECAO PRONTO SOCORRO CENTRAL SEPROS C,-23.9446497,-46.3358634,,ROOFTOP,,Jabaquara,11075-101,,,Avenida Doutor Cláudio Luís da Costa,280,
,,,,,,,PIZARRO HOSPITAL DO OLHO LTDA EPP,,,,,,,,,,,,
São Paulo,São Bernardo do Campo,,,Brazil,,,PRONTO SOCORRO RIACHO GRANDE,-23.781974,-46.5298759,,ROOFTOP,,Rio Grande,09830-291,,,Rua Marcílio Conrado,333,
São Paulo,Monte Azul Paulista,,,Brazil,,,HOSPITAL SENHOR BOM JESUS,-20.9052836,-48.6375904,,ROOFTOP,,Centro,14730-000,,,Rua Rui Barbosa,267,
Rio de Janeiro,Rio de Janeiro,,,Brazil,,,MATERNIDADE FERNANDO MAGALHAES,-22.8951534,-43.2257676,,ROOFTOP,,São Cristóvão,20921-400,,,Rua General José Cristino,87,
São Paulo,São Simão,,,Brazil,,,SANTA CASA DE MISERICORDIA DE SAO SIMAO,-21.479101,-47.5507915,,ROOFTOP,,Centro,14200-000,,,Rua Bandeira Vilela,185,
São Paulo,Vista Alegre do Alto,,,Brazil,,,UNIDADE MISTA DE VISTA ALEGRE DO ALTO VISTA ALEGRE DO ALTO,-21.1749728,-48.6303866,,ROOFTOP,,Centro,15920-000,,,Rua 18 de Fevereiro,27,
São Paulo,Nova Odessa,,,Brazil,,,HOSPITAL MUNICIPAL DR ACILIO CARREON GARCIA,-22.7802026,-47.30002899999999,,ROOFTOP,,Bosque dos Cedros,13460-000,,,Rua Aristídes Bassora,s/n,
São Paulo,Bauru,,,Brazil,,,HOSPITAL MANOEL DE ABREU BAURU,-22.3287856,-49.1010471,,ROOFTOP,,Vila Souto,17051-110,,,Rua Salvador Filardi,6-88,
Lisboa,,,,Portugal,,,HOSPITAL MUNICIPAL DE QUELUZ,38.7551048,-9.2532836,Queluz,GEOMETRIC_CENTER,,,2745-107,,,Rua Dom Fernando II,,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL ISRAELITA ALBERT EINSTEIN,-23.6000507,-46.7152458,,ROOFTOP,,Jardim Leonor,05652-900,,,Avenida Albert Einstein,627,
São Paulo,Silveiras,,,Brazil,,,UNIDADE MISTA DE SAUDE DE SILVEIRAS,-22.66478,-44.8520755,,GEOMETRIC_CENTER,,,,,,,,
São Paulo,São Paulo,,,Brazil,,,HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,-23.5972799,-46.65445949999999,,ROOFTOP,,Vila Clementino,04029-000,,,Rua Pedro de Toledo,1800,
São Paulo,Catanduva,,,Brazil,,,HOSPITAL PSIQUIATRICO MAHATMA GANDHI,-21.1549585,-48.9717122,,ROOFTOP,,Jardim Soto,15810-150,,,Rua Duartina,1311,
State of São Paulo,Presidente Prudente,,Conjunto Habitacional Ana,Brazil,,,HOSPITAL ALLAN KARDEC PRES PRUDENTE,-22.121126,-51.393006,Presidente Prudente,APPROXIMATE,,,,,,,,
São Paulo,Presidente Prudente,,,Brazil,,,HOSPITAL PSIQUIATRICO ESPIRITA BEZERRA DE MENEZES P PRUDENT,-22.15717,-51.392061,,GEOMETRIC_CENTER,,Umuarama,19053-680,,,,,
State of São Paulo,Americana,,,Brazil,,,HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI,-22.7416722,-47.3085832,,GEOMETRIC_CENTER,,,,,,,,
São Paulo,Mauá,,,Brazil,,,UPA BARAO DE MAUA,-23.6666671,-46.4290568,,ROOFTOP,,São João,09340-440,,,Avenida Barão,3567,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL MATERNIDADE INTERLAGOS,-23.706896,-46.7019715,,ROOFTOP,,Jardim Leblon,04802-190,,,Rua Leonor Alvim,211,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL GERAL DE PEDREIRA,-23.6811512,-46.6764103,,ROOFTOP,,Vila Campo Grande,04455-170,,,Rua João Francisco de Moura,251,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP,-23.6084781,-46.5934894,,ROOFTOP,,Sacomã,04231-030,,,Rua Cônego Xavier,276,
São Paulo,São Paulo,,,Brazil,,,PAM VARZEA DO CARMO NGA 63 SAO PAULO,-23.5563612,-46.6253767,,ROOFTOP,,Cambuci,01518-020,,,Rua Leopoldo Miguez,327,
São Paulo,São Paulo,,,Brazil,,,AMBULATORIO DE ESPECIALIDADES DR GERALDO PAULO BOURROUL,-23.5489553,-46.6446793,,ROOFTOP,,República,01050-906,,,Rua Martins Fontes,208,
São Paulo,São Bernardo do Campo,,,Brazil,,,HOSPITAL E PRONTO SOCORRO CENTRAL,-23.7154563,-46.5556394,,ROOFTOP,,Centro,09720-375,,,Rua Secondo Modolin,490,
São Paulo,Catanduva,,,Brazil,,,HOSPITAL SAO DOMINGOS DE CATANDUVA,-21.1561032,-48.9853305,,ROOFTOP,,Parque Joaquim Lopes,15800-640,,,Rua Doutor Cervantes Ângulo,255,
São Paulo,São Paulo,,,Brazil,,,CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP,-23.6437618,-46.6281417,,ROOFTOP,,Vila Água Funda,04301-002,,,Avenida Miguel Estéfno,3030,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO,-23.5927921,-46.71092609999999,,ROOFTOP,,Morumbi,05614-040,,,Rua Doutor Seráfico de Assis Carvalho,34,
São Paulo,São Paulo,,,Brazil,,,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,-23.5571205,-46.66772599999999,,ROOFTOP,,Cerqueira César,05403-900,,,Avenida Doutor Enéas Carvalho de Aguiar,44,
São Paulo,Embu das Artes,,,Brazil,,,UNIDADE MISTA DE SAUDE DE EMBUGUACU,-23.6488317,-46.8474631,,ROOFTOP,,Vila Cercado Grande,06803-905,,,Avenida Elias Yazbek,1415,
California,Orange County,,,United States,,,HOSPITAL MUNICIPAL SANTA ANA,33.7622333,-117.8916237,Santa Ana,ROOFTOP,Riverview,,92706,,,College Avenue,1901,
State of São Paulo,Miracatu,,,Brazil,,,UNIDADE HOSPITALAR DE MIRACATU MIRACATU,-24.2859701,-47.4584548,Miracatu,APPROXIMATE,,,11850-000,,,,,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN MATERNIDADE PROF MARIO DEGNI,-23.5781841,-46.7654498,,ROOFTOP,,Vila Antonio,05376-010,,,Juventus,562,
São Paulo,São Paulo,,,Brazil,,,HOSP DA STA CASA DE STO AMARO,-23.6502349,-46.70504260000001,,ROOFTOP,,Santo Amaro,04733-100,,,Rua Isabel Schmidt,59,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL SAO LUIZ GONZAGA,-23.4592111,-46.5824925,,ROOFTOP,,Vila Nilo,02276-140,,,Rua Michel Ouchana,94,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL UNIVERSITARIO DA USP SAO PAULO,-23.5650797,-46.7406904,,ROOFTOP,,Butantã,05508-000,,,Avenida Professor Lineu Prestes,2565,
São Paulo,São Paulo,,,Brazil,,,HOSP SOROCABANA,-23.5240009,-46.7012688,,ROOFTOP,,Lapa,05041-001,,,Rua Faustolo,1633,
São Paulo,Itatinga,,,Brazil,,,HOSPITAL DE ITATINGA,-23.1026208,-48.6126709,,ROOFTOP,,Centro,18690-000,,,PRACA SAO ROQUE,48,
São Paulo,São Paulo,,,Brazil,,,CASA DA CRIANCA BETINHO,-23.5602125,-46.5323629,,ROOFTOP,,Vila Carrao,03433-020,,,Rua Vacanga,300,
São Paulo,Embu das Artes,,,Brazil,,,UNIDADE MISTA E MATERNIDADE CENTRAL,-23.6488317,-46.8474631,,ROOFTOP,,Vila Cercado Grande,06803-905,,,Avenida Elias Yazbek,1415,
,,,,,,,UNIDADE MISTA DE ATENDIMENTO INFANTIL,,,,,,,,,,,,
São Paulo,Guaratinguetá,,,Brazil,,,HOSPITAL DIA IRMAO ALTINO SAUDE MENTAL,-22.815904,-45.2004853,,ROOFTOP,,Campo do Galvão,12505-070,,,Rua Álvares Cabral,381,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL AMPARO MATERNAL,-23.60011,-46.6435554,,ROOFTOP,,Vila Clementino,04040-033,,,Rua Loefgren,2189-2317,
São Paulo,São José do Rio Preto,,,Brazil,,,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,-20.8284099,-49.3970743,,ROOFTOP,,Vila Sao Jose,15090-000,,,Avenida Brigadeiro Faria Lima,5544,
São Paulo,São Paulo,,,Brazil,,,CAISM PHILIPPE PINEL SAO PAULO,-23.4856943,-46.7242905,,ROOFTOP,,Vila Pirituba,02938-000,,,Avenida Raimundo Pereira de Magalhães,5214,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL,-23.5930215,-46.5612185,,ROOFTOP,,Jardim Avelino,03227-000,,,Avenida Francisco Falconi,1501,
,,,,,,,HOSPITAL DR LEOPOLDO BEVILACQUA,,,,,,,,,,,,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DR JOSE SOARES HUNGRIA,-23.484612,-46.7276156,,ROOFTOP,,Jardim Cidade Pirituba,02945-000,,,Avenida Menotti Laudísio,100,
São Paulo,São Paulo,,,Brazil,,,HOSP DOM ANTONIO DE ALVARENGA,-23.5963873,-46.6088803,,ROOFTOP,,Ipiranga,04263-200,,,Avenida Nazaré,1361,
São Paulo,São Paulo,,,Brazil,,,HOSP STA MARCELINA SAO PAULO,-23.5547713,-46.46147020000001,,ROOFTOP,,Vila Carmosina,08270-070,,,Rua Santa Marcelina,177,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO,-23.5975141,-46.6436104,,ROOFTOP,,Vila Clementino,04024-002,,,Rua Napoleão de Barros,715,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL GERAL DE SAO MATEUS SAO PAULO,-23.5945818,-46.486687,,ROOFTOP,,Cidade São Mateus,03958-000,,,Rua Ângelo de Cândia,540/541,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL BANDEIRANTES,-23.558191,-46.63477289999999,,ROOFTOP,,Liberdade,01507-000,,,Rua Barão de Iguape,209,
,,,,,,,HOSPITAL SAO VICENTE DE PAULA DE ARANDU,,,,,,,,,,,,
São Paulo,São Paulo,,,Brazil,,,UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP,-23.5842652,-46.6116355,,ROOFTOP,,Vila Monumento,04262-000,,,Avenida Nazaré,28,
São Paulo,São Paulo,,,Brazil,,,A C CAMARGO CANCER CENTER,-23.5653531,-46.635131,,ROOFTOP,,Liberdade,01525-001,,,Rua Tamandaré,753,
São Paulo,Águas de Lindóia,,,Brazil,,,HOSPITAL GERAL DR FRANCISCO TOZZI AGUAS DE LINDOIA,-22.4736418,-46.6342968,,ROOFTOP,,Jardim São Francisco,13940-000,,,Rua Santa Catarina,158,
,,,,,,,HOSPITAL MUNICIPAL DA MULHER DR JOAO LUIS J ROSSETO,,,,,,,,,,,,
São Paulo,São Paulo,,,Brazil,,,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,-23.4849265,-46.6315935,,ROOFTOP,,Santana,02432,,,Rua Voluntários da Pátria,4301,
Pernambuco,Jaboatão dos Guararapes,,,Brazil,,,HOSPITAL NOSSA SENHORA DA PIEDADE,-8.1711666,-34.9156207,,ROOFTOP,,Piedade,54410-010,,,Avenida Bernardo Vieira de Melo,2071,
São Paulo,São Paulo,,,Brazil,,,INST BRASILEIRO DE CONTROLE DO CANCER IBCC,-23.5473291,-46.6002579,,ROOFTOP,,Brás,03102-002,,,Avenida Alcântara Machado,2576,
Rio de Janeiro,Nova Iguaçu,,,Brazil,,,CASA DE SAUDE NOSSA SENHORA DE FATIMA,-22.7628595,-43.4455795,,ROOFTOP,,Centro,26262-070,,,Rua Coronel Bernardino de Melo,1465,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO,-23.4923813,-46.3892642,,ROOFTOP,,Itaim Paulista,08115-100,,,Avenida Marechal Tito,6035,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN PROF DR WALDOMIRO DE PAULA,-23.5309573,-46.4449297,,ROOFTOP,,Itaquera,08210-590,,,Rua Augusto Carlos Bauman,1074,
São Paulo,Adamantina,,,Brazil,,,SANTA CASA DE ADAMANTINA,-21.6929321,-51.07084210000001,,ROOFTOP,,Vila Cicma,17800-000,,,Rua Joaquim Luís Vian,209,
,,,,,,,ASSOC AACD V CLEMENTINO,,,,,,,,,,,,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP,-23.729083,-46.690901,,ROOFTOP,,Parque das Nações,04822-030,,,Rua Francisco Octávio Pacca,180,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO,-23.535934,-46.588712,,ROOFTOP,,Belenzinho,03064-000,,,Avenida Celso Garcia,2477,
São Paulo,São Paulo,,,Brazil,,,HOSP MONUMENTO CEHM,-23.5942251,-46.5967872,,ROOFTOP,,Ipiranga,03584-000,,,Rua Lima e Silva,985,
São Paulo,São Paulo,,,Brazil,,,CENTRO DE REFERENCIA E TREINAMENTO DSTAIDS SAO PAULO,-23.596873,-46.635808,,ROOFTOP,,Vila Mariana,04121-000,,,Rua Santa Cruz,81,
São Paulo,São Paulo,,,Brazil,,,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,-23.5574506,-46.66990149999999,,ROOFTOP,,Cerqueira César,05403-000,,,Avenida Doutor Enéas Carvalho de Aguiar,255,
Rio de Janeiro,Rio de Janeiro,,,Brazil,,,HOSPITAL SAO LUCAS,-22.9721921,-43.1928724,,ROOFTOP,,Copacabana,22061-080,,,Travessa Frederico Pamplona,32,
São Paulo,Ribeirão Preto,,,Brazil,,,HOSPITAL SANTA TEREZA DE RIBEIRAO PRETO,-21.2058434,-47.8284618,,ROOFTOP,,Jardim Sumare,14026-390,,,Avenida Adelmo Perdizza,495,
São Paulo,Leme,,,Brazil,,,SANTA CASA DE LEME,-22.1899384,-47.392191,,ROOFTOP,,Jardim Amália,13610-970,,,Rua Padre Julião,1213,
São Paulo,Itapevi,,,Brazil,,,HOSPITAL GERAL DE ITAPEVI,-23.5379257,-46.9427503,,ROOFTOP,,Jardim Nova Itapevi,06694-230,,,Rua Jesuino Joaquim da Silva,S/n,
São Paulo,Sales Oliveira,,,Brazil,,,HOSPITAL SANTA RITA SALES DE OLIVEIRA,-20.7714777,-47.8355481,,ROOFTOP,,CENTRO,14660-000,,,Rua Sete de Setembro,589,
São Paulo,Presidente Venceslau,,,Brazil,,,SANTA CASA DE PRESIDENTE VENCESLAU,-21.8715436,-51.8412825,,ROOFTOP,,Centro,19400-000,,,Rua Antônio Vila Nova,66,
Maryland,Baltimore County,,,United States,,,HOSPITAL STELLA MARIS,39.4588995,-76.5970699,Lutherville-Timonium,GEOMETRIC_CENTER,,,21093,,,,,
São Paulo,Santo Antônio da Alegria,,,Brazil,,,UNIDADE MISTA DE SANTO ANTONIO DA ALEGRIA,-21.0910319,-47.15195,Santo Antônio da Alegria,APPROXIMATE,,,14390-000,,,,,
São Paulo,Piedade,,,Brazil,,,HOSPITAL PSIQUIATRICO VALE DAS HORTENCIAS PIEDADE,-23.8265429,-47.3835323,,GEOMETRIC_CENTER,,,18170-000,,,Estr. Municipal,,
São Paulo,Birigui,,,Brazil,,,SANTA CASA DE BIRIGUI,-21.2821465,-50.3359329,,ROOFTOP,,Patrimonio Silvares,16201-000,,,Rua Doutor Carlos Carvalho Rosa,115,
São Paulo,São Paulo,,,Brazil,,,CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO,-23.5514066,-46.64442880000001,,GEOMETRIC_CENTER,,Bela Vista,01312-000,,,Rua Santo Antônio,,
São Paulo,Taquaritinga,,,Brazil,,,SANTA CASA DE TAQUARITINGA,-21.4047308,-48.5044607,,ROOFTOP,,Centro,15900-037,,,Praça Doutor José Furiatti,153,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN INFANTIL MENINO JESUS,-23.5602035,-46.6473659,,ROOFTOP,,Bela Vista,01329-010,,,Rua dos Franceses,250,
São Paulo,Monte Mor,,,Brazil,,,ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,-22.9504874,-47.30620709999999,,ROOFTOP,,Centro,13190-000,,,Avenida Jânio Quadros,1000,
Rio Grande do Sul,Porto Alegre,,,Brazil,,,HOSPITAL ESPIRITA,-30.0867286,-51.2068826,,ROOFTOP,,Teresópolis,91720-440,,,Praça Simões Lopes Neto,175,
São Paulo,Guaíra,,,Brazil,,,SANTA CASA DE GUAIRA,-20.3258339,-48.3184649,,ROOFTOP,,Centro,14790-000,,,Rua Vinte e Quatro,872,
São Paulo,Pedreira,,,Brazil,,,FUNBEPE PEDREIRA,-22.7446584,-46.9174599,,ROOFTOP,,Vila Canesso,13920-000,,,Rua Henriqueta Rondelo Canesso,161,
São Paulo,Patrocínio Paulista,,,Brazil,,,SANTA CASA DE PATROCINIO PAULISTA,-20.6427994,-47.2813945,,ROOFTOP,,Centro,14415-000,,,Rua Cônego Peregrino,1280,
São Paulo,Campinas,,,Brazil,,,REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA,-22.9040519,-47.0683876,,ROOFTOP,,Centro,13013-101,,,Rua Onze de Agosto,557,
