administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,bus_station,co_cnes,country,establishment,floor,hospital,lat,lat_google,lng,lng_google,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
São Paulo,Garça,,,,2081598.0,Brazil,,,SANTA CASA DE MISERICORDIA SAO LUCAS,-22.2073705,,-49.649635499999995,,,ROOFTOP,,Williams,17400-000,,,Rua Doutor Orlando Thiago dos Santos,70,
São Paulo,Americana,,,,2081733.0,Brazil,,,SEARA HOSPITAL PSIQUIATRICO,-22.7176904,,-47.292207299999994,,,ROOFTOP,,Jardim Brasil,13474-072,,,Praça Allan Kardec,100,
São Paulo,Guarulhos,,,,2082861.0,Brazil,,,HOSP MUNICIPAL DE URGENCIAS HMU,-23.4528992,,-46.51627740000001,,,ROOFTOP,,Jardim Bom Clima,07196-000,,,Avenida Tiradentes,3392,
São Paulo,Guará,,,,2083973.0,Brazil,,,SANTA CASA DE GUARA,-20.4315247,,-47.82441439999999,,,ROOFTOP,,,14580-000,,,Rua Capitão Antônio Ribeiro,40,
São Paulo,São Paulo,,,,2084147.0,Brazil,,,HOSPITAL DA REABILITACAO DO ABC,-23.5930062,,-46.6287751,,,ROOFTOP,,Jardim Vila Mariana,04101-300,,,Rua Domingo de Soto,100,
São Paulo,Itu,,,,2084198.0,Brazil,,,CEDEME CENTRO DESENVOLV PORTADOR DEFICIENCIA MENTAL ITU,-23.381857,,-47.3368208,,,ROOFTOP,,Vila Martins,,,,"Rodovia Waldomiro Corrêa de Camargo, km 63",S/n,
São Paulo,Indaiatuba,,,,2084244.0,Brazil,,,IRPSI,-23.0749283,,-47.2033673,,,ROOFTOP,,Cidade Nova II,13334-210,,,Rua Presidente Bernardes,196-252,
São Paulo,Itapira,,,,2084279.0,Brazil,,,CLINICA CRISTALIA ITAPIRA,-22.4342914,,-46.83408619999999,,,ROOFTOP,,Nova Itapira,13970,,,Avenida Paoletti,363,
São Paulo,Barretos,,,,2085194.0,Brazil,,,HOSPITAL SAO FRANCISCO DE ASSIS,-20.5684203,,-48.57299219999999,,,ROOFTOP,,América,14783-083,,,Avenida Engenheiro Necker Carvalho de Camargo,1701,
São Paulo,São Paulo,,,,2088576.0,Brazil,,,HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI,-23.570459699999997,,-46.6513218,,,ROOFTOP,,Bela Vista,04001-090,,,Avenida Brigadeiro Luís Antônio,2651,
State of São Paulo,São Paulo,,,,2089203.0,Brazil,,,CASA DE SAUDE DE SAO JOAO DE DEUS,-23.4728167,,-46.7548541,,,GEOMETRIC_CENTER,,Vila Jaraguá,02675-031,,,,,
São Paulo,São Paulo,,,,2089572.0,Brazil,,,ASSOC CRUZ VERDE,-23.595823899999996,,-46.64347120000001,,,ROOFTOP,,Vila Clementino,04037-002,,,Rua Doutor Diogo de Faria,695,
State of São Paulo,São Paulo,,,,2089637.0,Brazil,,,CASA DE SAUDE NSRA DO CAMINHO,-23.706116,,-46.742144200000006,,,GEOMETRIC_CENTER,,Praia Azul,4925,,,,,
São Paulo,São Paulo,,,,2091623.0,Brazil,,,CLINICA CHARCOT,-23.5305065,,-46.697904799999996,,,ROOFTOP,,Vila Romana,05044-010,,,Rua Aurélia,971,
São Paulo,Vera Cruz,,,,2091763.0,Brazil,,,HOSP VERA CRUZ,-22.215403100000003,,-49.82166779999999,,,ROOFTOP,,168,17560-000,,,Rua Manoel Quinzani,76,
São Paulo,São Paulo,,,,2091801.0,Brazil,,,HOSP PS COMUNITARIO V IOLANDA,-23.537903399999998,,-46.4039988,,,ROOFTOP,,Vila Iolanda(Lajeado),08451-010,,,Rua Cabo José Teixeira,168,
State of São Paulo,Buri,,,,2698625.0,Brazil,,,UNIDADE MISTA DE SAUDE DE BURI,-23.7981763,,-48.596274799999996,,Buri,APPROXIMATE,,,18290-000,,,,,
São Paulo,São José dos Campos,,,,2716089.0,Brazil,,,HOSPITAL DIA EM AIDS,-23.200880899999998,,-45.887879999999996,,,ROOFTOP,,Jardim Sao Dimas,12237-000,,,Rua Amin Assad,200,
São Paulo,Franco da Rocha,,,,2745356.0,Brazil,,,HOSPITAL PSIQUIATRICO ANDRE LUIZ,-23.3341831,,-46.7078022,,,ROOFTOP,,Vila Ramos,7858,,,Rodovia Prefeito Luiz Salomão Chamma,Km 43,
State of São Paulo,Dourado,,,,2747022.0,Brazil,,,CASA DE SAUDE SANTA EMILIA DOURADO,-22.1049167,,-48.31827879999999,,Dourado,APPROXIMATE,,,13590-000,,,,,
São Paulo,Botucatu,,,,2748231.0,Brazil,,,HOSPITAL REGIONAL DE BOTUCATU,-22.8663632,,-48.44719360000001,,,ROOFTOP,,Vila Carmelo,18609-610,,,Rua Padre Salustio Rodrigues Machado,S/N,
São Paulo,São Paulo,,,,2754843.0,Brazil,,,HOSPITAL SANTO AMARO,-23.650234899999997,,-46.70504260000001,,,ROOFTOP,,Santo Amaro,04733-100,,,Rua Isabel Schmidt,59,
State of São Paulo,Mogi das Cruzes,,,,2773171.0,Brazil,,,HOSPITAL DO CANCER DR FLAVIO ISAIAS RODRIGUES MOGI DAS CRUZE,-23.5386445,,-46.1709012,,,APPROXIMATE,,,,,,,,
São Paulo,Agudos,,,,2774720.0,Brazil,,,HOSPITAL DE AGUDOS,-22.469495300000002,,-48.9843695,,,ROOFTOP,,Centro,17120-000,,,Avenida Benedito Otoni,209,
São Paulo,São José do Rio Preto,,,,3345327.0,Brazil,,,KAISER CLINICA,-20.8189794,,-49.3860829,,,ROOFTOP,,Vila Redentora,15015-110,,,Rua XV de Novembro,3975,
São Paulo,São Paulo,,,,5130883.0,Brazil,,,IEYES INSTITUTO DOS OLHOS,-23.581387399999997,,-46.6649326,,,ROOFTOP,,Jardim Paulista,01401-002,,,Avenida Brigadeiro Luís Antônio,4521,
São Paulo,São Carlos,,,,5586348.0,Brazil,,,HOSPITAL UNIVERST DA UFSCAR PROF DR HORACIO C PANEPUCCI,-21.992019,,-47.88732599999999,,,ROOFTOP,,Vila Celina,13566-448,,,Rua Luís Vaz de Camões,111,
São Paulo,São José dos Campos,,,,5869412.0,Brazil,,,CENTRO DE TRATAMENTO FABIANA MACEDO DE MORAIS,-23.197031699999997,,-45.9461767,,,ROOFTOP,,Urbanova,12244-000,,,Avenida Possidônio José de Freitas,1200,
São Paulo,Olímpia,,,,6291635.0,Brazil,,,CENTRO OFTALMOLOGICO DE REFERENCIA,-20.7362396,,-48.9185119,,,ROOFTOP,,Vila Goncalves,15400-000,,,Rua Síria,139,
São Paulo,São Pedro,,,,6418651.0,Brazil,,,UPA SAO PEDRO,-22.545231100000002,,-47.9143958,,,ROOFTOP,,V Olinda,13520-000,,,Rua Olímpia G de Andrade,137-211,
São Paulo,São Paulo,,,,6591620.0,Brazil,,,PRONTO ATENDIMENTO INFANTIL,-23.569345300000002,,-46.5857235,,,ROOFTOP,,Mooca,03128-020,,,Rua Américo Ventura,123,
State of São Paulo,Taiúva,,,,6680968.0,Brazil,,,HOSPITAL MUNICIPAL SANTO ANTONIO,-21.1226303,,-48.4528756,,,GEOMETRIC_CENTER,,,14720-000,,,,,
São Paulo,Franco da Rocha,,,,6878687.0,Brazil,,,HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO,-23.334035399999998,,-46.728010100000006,,,ROOFTOP,,Centro,07850-320,,,Avenida dos Coqueiros,300,
São Paulo,Mauá,,,,6950051.0,Brazil,,,UPA MAGINI CENTRO,-23.662550600000003,,-46.4595385,,,ROOFTOP,,RP7 (Regiões de Planejamento),09390-030,,,Avenida Washington Luiz,3890,
São Paulo,Itapeva,,,,6971199.0,Brazil,,,HOSPITAL DIA SANTA RITA,-23.9869557,,-48.8787005,,,ROOFTOP,,Centro,18400-030,,,Rua Santos Dumont,704,
São Paulo,São Paulo,,,,7572468.0,Brazil,,,INSTITUTO DA VISAO,-23.597136,,-46.64731,,,ROOFTOP,,Vila Clementino,04038-032,,,Rua Borges Lagoa,1083,11º andar
São Paulo,São Paulo,,,,7711980.0,Brazil,,,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO,-23.6572345,,-46.6534268,,,ROOFTOP,,Vila Santa Catarina,4379,,,Avenida Santa Catarina,2785,
São Paulo,São Paulo,,,,9403345.0,Brazil,,,CIES GLOBAL III,-23.600838800000002,,-46.61368770000001,,,ROOFTOP,,Vila Dom Pedro I,04276-000,,,Rua Salvador Simões,801,
São Paulo,São Paulo,,,,9404236.0,Brazil,,,CIES GLOBAL II,-23.600838800000002,,-46.61368770000001,,,ROOFTOP,,Vila Dom Pedro I,04276-000,,,Rua Salvador Simões,801,
São Paulo,Registro,,,,9556095.0,Brazil,,,HOSPITAL REGIONAL DE REGISTRO REGISTRO,-24.529905600000003,,-47.85572819999999,,,ROOFTOP,,,11900-000,,,Rodovia Régis Bittencourt,KM 449,
São Paulo,Osasco,,,,8028.0,Brazil,,,HOSPITAL MUNICIPAL ANTONIO GIGLIO,-23.5322294,,-46.77717089999999,,,ROOFTOP,,Centro,06013-070,,,Rua Pedro Fioreti,48,
São Paulo,Osasco,,,,8036.0,Brazil,,,HOSPITAL MATERNIDADE AMADOR AGUIAR,-23.5068406,,-46.78808309999999,,,ROOFTOP,,Piratininga,06233-020,,,Avenida Getúlio Vargas,1260,
São Paulo,Osasco,,,,8052.0,Brazil,,,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO,-23.524848499999997,,-46.7717519,,,ROOFTOP,,Presidente Altino,06216-240,,,Rua Ari Barroso,355,
São Paulo,Osasco,,,,8087.0,Brazil,,,PRONTO SOCORRO CONRADO CESARINO NUVOLINI,-23.554745399999998,,-46.80201160000001,,,ROOFTOP,,Jardim Dayaquinha,06132-002,,,Avenida João de Andrade,958,
São Paulo,Osasco,,,,8141.0,Brazil,,,PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA,-23.5121282,,-46.7755968,,,ROOFTOP,,Rochdale,06223-180,,,Rua Águas da Prata,s/n,
São Paulo,Osasco,,,,8478.0,Brazil,,,LAR BUSSOCABA ASSISTENCIA VICENTINA,-23.5555697,,-46.776635600000006,,,ROOFTOP,,Umuarama,06036-055,,,Avenida Padre Vicente Melillo,831,
São Paulo,Santo André,,,,8923.0,Brazil,,,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO,-23.6653066,,-46.527221000000004,,,ROOFTOP,,Vila Assunção,09030-320,,,Avenida João Ramalho,326,
São Paulo,São José dos Campos,,,,9008.0,Brazil,,,UNIDADE DE PRONTO ATENDIMENTO SAUDE MENTAL,-23.2303365,,-45.88537030000001,,,ROOFTOP,,Jardim Satélite,12230-820,,,Rua Pituba,100,
São Paulo,São José dos Campos,,,,9628.0,Brazil,,,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE,-23.1803222,,-45.854997,,,ROOFTOP,,Vila Industrial,12220-280,,,Rua Saigiro Nakamura,800,
São Paulo,São José dos Campos,,,,9636.0,Brazil,,,ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA,-23.207212,,-45.898436,,,ROOFTOP,,Jardim Maringa,12243-370,,,Praça Bom Jesus do Serimbura,nº82,
São Paulo,Santo André,,,,21520.0,Brazil,,,PRONTO ATENDIMENTO DE VILA LUZITA,-23.6993173,,-46.5073126,,,ROOFTOP,,Vila Luzita,09171-120,,,Rua Calecute,25,
São Paulo,São José dos Campos,,,,26417.0,Brazil,,,HOSPITAL DE CLINICAS SUL,-23.2378264,,-45.90892789999999,,,ROOFTOP,,Parque Industrial,12237-000,,,Praça Natal,55,
São Paulo,Campinas,,,,2022621.0,Brazil,,,MATERNIDADE DE CAMPINAS,-22.89931,,-47.063439,,,ROOFTOP,,Vila Itapura,13023-002,,,Avenida Orosimbo Maia,165,
São Paulo,Campinas,,,,2022648.0,Brazil,,,HOSPITAL IRMAOS PENTEADO E SANTA CASA DE CAMPINAS,-22.9006551,,-47.054801700000006,,,ROOFTOP,,Cambuí,13024-180,,,Avenida Júlio de Mesquita,571,
São Paulo,Cajuru,,,,2023016.0,Brazil,,,CASA DE CARIDADE SAO VICENTE DE PAULO CAJURU,-21.2724725,,-47.306695899999994,,,ROOFTOP,,Jardim Santa Maria Goretti,14240-000,,,R. Doutor Milton Mourão de Mattos,460,
São Paulo,Jaguariúna,,,,2023474.0,Brazil,,,HOSPITAL MUNICIPAL WALTER FERRARI,-22.7026202,,-46.9953435,,,ROOFTOP,,Centro,13820-000,,,Rua Amazonas,s/n,
São Paulo,Cosmópolis,,,,2023644.0,Brazil,,,HOSPITAL BENEFICENTE SANTA GERTRUDES,-22.6495818,,-47.1970513,,,ROOFTOP,,Jardim de Faveri,13150-000,,,Rua Ramos de Azevedo,66,
São Paulo,Itatiba,,,,2023709.0,Brazil,,,SANTA CASA DE MISERICORDIA DE ITATIBA,-23.0074174,,-46.8331177,,,ROOFTOP,,Centro,13253-900,,,Avenida Saudade,43,
São Paulo,Jaborandi,,,,2023865.0,Brazil,,,HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,-20.689789899999997,,-48.4162732,,,ROOFTOP,,,14775-000,,,Rua Doutor Amadeu Pagliuso,337-449,
São Paulo,Mongaguá,,,,2024438.0,Brazil,,,HOSPITAL E MATERNIDADE DR ADONIRAN CORREIA CAMPOS MONGAGUA,-24.090595699999998,,-46.613568,,,ROOFTOP,,Centro,11730-000,,,Avenida São Paulo,826,
São Paulo,Caçapava,,,,2024756.0,Brazil,,,HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJUDA,-23.1042811,,-45.705188,,,ROOFTOP,,Centro,12281-450,,,Avenida Doutor Pereira de Mattos,63,
São Paulo,São José dos Campos,,,,2024772.0,Brazil,,,SANTA CASA DE MISERICORDIA SAO JOSE,-23.1849299,,-45.884014,,,ROOFTOP,,Centro,12210-000,,,Rua Vilaça,540,
São Paulo,Jaboticabal,,,,2025477.0,Brazil,,,HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL,-21.2555666,,-48.3259557,,,ROOFTOP,,Centro,14870-810,,,Rua Floriano Peixoto,1387,
São Paulo,Marília,,,,2025507.0,Brazil,,,HCFAMEMA HOSP CLINICO CIRURGICO,-22.2270257,,-49.9357465,,,ROOFTOP,,Fragata,17519-080,,,Rua Doutor Reinaldo Machado,255,
São Paulo,Santos,,,,2025752.0,Brazil,,,SANTA CASA DE SANTOS,-23.944523999999998,,-46.33643499999999,,,ROOFTOP,,Jabaquara,11075-101,,,Avenida Doutor Cláudio Luís da Costa,50,
São Paulo,Guariba,,,,2026805.0,Brazil,,,SANTA CASA DE GUARIBA,-21.3648737,,-48.2251015,,,ROOFTOP,,Altos do Jardim Boa Vista,14840-000,,,Rua Nelo Petrine,1740,
São Paulo,Itapeva,,,,2027186.0,Brazil,,,SANTA CASA DE MISERICORDIA DE ITAPEVA,-23.9882923,,-48.877008399999994,,,ROOFTOP,,Centro,18400-030,,,Rua Santos Dumont,433,
São Paulo,São Paulo,,,,2027240.0,Brazil,,,HOSPITAL DIA DA REDE HORA CERTA BUTANTA,-23.586325199999997,,-46.7323941,,,ROOFTOP,,Butantã,05535-100,,,Rua João Guerra,247,
São Paulo,Monte Alto,,,,2028204.0,Brazil,,,SANTA CASA DE MONTE ALTO,-21.2655414,,-48.5019758,,,ROOFTOP,,Centro,15910-000,,,Rua Carlos Kielander,396,
São Paulo,Teodoro Sampaio,,,,2028239.0,Brazil,,,HOSPITAL REGIONAL DE TEODORO SAMPAIO,-22.5334861,,-52.1708268,,,ROOFTOP,,Centro,19280-000,,,Rua Trifônio Infante Algarin,1430,
São Paulo,São Paulo,,,,2028840.0,Brazil,,,INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO,-23.5558033,,-46.6675382,,,ROOFTOP,,Pacaembu,01246-900,,,Avenida Doutor Arnaldo,165,
São Paulo,São Caetano do Sul,,,,2033372.0,Brazil,,,PRONTO SOCORRO CENTRAL SAO CAETANO DO SUL,-23.617119,,-46.5723689,,,ROOFTOP,,Centro,09510-112,,,Rua Manoel Coelho,845,
São Paulo,Taboão da Serra,,,,2033739.0,Brazil,,,PRONTO SOCORRO DO TABOAO,-23.6147783,,-46.778217100000006,,,ROOFTOP,,Jardim Helena,06765-465,,,Estrada São Francisco,2400,
São Paulo,Campinas,,,,2035081.0,Brazil,,,CENTRO DE ATENCAO INTEGRAL A SAUDE DA MULHER,-22.8279155,,-47.0657783,,,ROOFTOP,,Cidade Universitária,13083-881,,,Rua Alexander Fleming,101,
São Paulo,São Bernardo do Campo,,,,2038269.0,Brazil,,,PRONTO SOCORRO RUDGE RAMOS,-23.6553785,,-46.5742749,,,ROOFTOP,,Rudge Ramos,09624-070,,,Rua Ângela Tomé,256,
São Paulo,São Bernardo do Campo,,,,2038277.0,Brazil,,,PRONTO SOCORRO BAETA NEVES,-23.6998662,,-46.543842100000006,,,ROOFTOP,,Baeta Neves,09760-001,,,Rua dos Vianas,933,
São Paulo,Suzano,,,,2039001.0,Brazil,,,PRONTO SOCORRO MUNICIPAL DE SUZANO,-23.5521348,,-46.30599309999999,,,ROOFTOP,,Vila Figueira,08676-410,,,Rua Kaneji Kodama,1459,
São Paulo,Guarulhos,,,,2040069.0,Brazil,,,HOSPITAL MATERNIDADE JESUS JOSE E MARIA,-23.4511671,,-46.5310196,,,ROOFTOP,,Parque Renato Maia,07114-000,,,Avenida Doutor Renato de Andrade Maia,1337,
São Paulo,Indaiatuba,,,,2040573.0,Brazil,,,AMBULAT DE ESPECIALIDADES E HOSPITAL DIA DR RENATO RIGGIO JR,-23.088084,,-47.202367100000004,,,ROOFTOP,,Vila Vitoria I,13338-010,,,Avenida Visconde de Indaiatuba,199,
São Paulo,Santos,,,,2042894.0,Brazil,,,SECAO PRONTO SOCORRO CENTRAL SEPROS C,-23.9446497,,-46.335863399999994,,,ROOFTOP,,Jabaquara,11075-101,,,Avenida Doutor Cláudio Luís da Costa,280,
São Paulo,São Bernardo do Campo,,,,2046407.0,Brazil,,,PRONTO SOCORRO RIACHO GRANDE,-23.781973999999998,,-46.52987589999999,,,ROOFTOP,,Rio Grande,09830-291,,,Rua Marcílio Conrado,333,
São Paulo,Monte Azul Paulista,,,,2053500.0,Brazil,,,HOSPITAL SENHOR BOM JESUS,-20.9052836,,-48.6375904,,,ROOFTOP,,Centro,14730-000,,,Rua Rui Barbosa,267,
São Paulo,São Simão,,,,2058243.0,Brazil,,,SANTA CASA DE MISERICORDIA DE SAO SIMAO,-21.479101,,-47.550791499999995,,,ROOFTOP,,Centro,14200-000,,,Rua Bandeira Vilela,185,
São Paulo,Vista Alegre do Alto,,,,2058278.0,Brazil,,,UNIDADE MISTA DE VISTA ALEGRE DO ALTO VISTA ALEGRE DO ALTO,-21.1749728,,-48.6303866,,,ROOFTOP,,Centro,15920-000,,,Rua 18 de Fevereiro,27,
São Paulo,Nova Odessa,,,,2058308.0,Brazil,,,HOSPITAL MUNICIPAL DR ACILIO CARREON GARCIA,-22.780202600000003,,-47.30002899999999,,,ROOFTOP,,Bosque dos Cedros,13460-000,,,Rua Aristídes Bassora,s/n,
São Paulo,Bauru,,,,2058332.0,Brazil,,,HOSPITAL MANOEL DE ABREU BAURU,-22.328785600000003,,-49.1010471,,,ROOFTOP,,Vila Souto,17051-110,,,Rua Salvador Filardi,6-88,
São Paulo,São Paulo,,,,2058391.0,Brazil,,,HOSPITAL ISRAELITA ALBERT EINSTEIN,-23.600050699999997,,-46.7152458,,,ROOFTOP,,Jardim Leonor,05652-900,,,Avenida Albert Einstein,627,
São Paulo,Silveiras,,,,2058405.0,Brazil,,,UNIDADE MISTA DE SAUDE DE SILVEIRAS,-22.66478,,-44.8520755,,,GEOMETRIC_CENTER,,,,,,,,
